PERATURAN,BAB,PASAL
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 23  (1) Setiap orang bebas untuk memilih dan mempunyai keyakinan pilitiknya. (2) Setiap orang bebas untuk mempunyai, mengeluarkan dan menyebarluaskan pendapat sesuai hati nuraninya, secara lisan dan atau tulisan melalui media cetak meupun elektronik dengan memperhatikan    nilai-nilai agama,     kesusilaan,   ketertiban, kepentingan umum, dan keutuhan bangsa. PRESIDEN REPUBLIK INDONESIA   -8- "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 24  (1) Setiap orang berhak untuk berkumpul, berapat, dan berserikat untuk maksud-maksud damai. (2) Setiap warga negara atau kelompok masyarakat berhak mendirikan partai politik, lembaga swadaya masyarakat atau organisasi lainnya untuk berperan serta dalam jalannya pemerintahan dan penyelenggaraan negara sejalan dengan tuntutan      perlindungan, penegakan, dan pemajuan hak asasi manusia sesuai dengan ketentuan peraturan perundang-undangan.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 25  Setiap orang berhak untuk menyampaikan pendapat di muka umum, termasuk hak untuk mogok sesuai dengan ketentuan peraturan perundang-undangan.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 26  (1) Setiap orang berhak memiliki, memperoleh, mengganti, atau mempertahankan status kewarganegaraannya. (2) Setiap orang bebas memilih kewarganegaraannya dan tanpa diskriminasi berhak menikmati hak-hak yang bersumber dan melekat pada kewarganegaraannya serta wajib melaksanakan kewajibannya sebagai warga negara sesuai dengan ketentuan peraturan perundang-undangan.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 27  (1) Setiap warga negara Indonesia berhak untuk secara bebas bergerak, berpindah, dan bertempat tinggal dalam wilayah negara Republik Indonesia. (2) Setiap warga negara Indonesia berhak meninggalkan dan masuk kembali ke wilayah negara Republik Indonesia, sesuai dengan ketentuan peraturan perundang-undangan.     Bagian Keenam Hak atas Rasa Aman PRESIDEN REPUBLIK INDONESIA   -9- "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 28  (1) Setiap orang berhak mencari suaka untuk memperoleh perlindungan politik dari negara lain. (2) Hak sebagaimana dimaksud dalam ayat (1) tidak berlaku bagi mereka yang melakukan kejahatan nonpolitik atau perbuatan yang bertentangan   dengan   tujuan   dan     prinsip   Perserikatan Bangsa-Bangsa.   
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 29  (1) Setiap orang berhak atas perlindungan diri pribadi, keluarga, kehormatan, martabat, dan hak miliknya. (2) Setiap orang berhak atas pengakuan di depan hukum sebagai manusia pribadi di mana saja ia berada.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 30  Setiap orang berhak atas rasa aman dan tenteram serta perlindungan terhadap ancaman ketakutan untuk berbuat atau tidak berbuat sesuatu.  
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 31 (1) Tempat kejadian siapapun tidak boleh diganggu. (2) Menginjak atau memasuki suatu pekarangan tempat kediaman atau memasuki suatu rumah bertentangan dengan kehendak orang yang mendiaminya, hanya diperbolehkan dalam hal-hal yang telah ditetapkan oleh undang-undang.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 32  Kemerdekaan dan rahasia dalam hubungan surat-menyurat termasuk hubungan komunikasi melalui sarana elektronik tidak boleh diganggu, kecuali atas perintah hakim atau kekuasaan lain yang sah sesuai dengan ketentuan peraturan perundang-undangan.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 33  (1) Setiap orang berhak untuk bebas dari penyiksaan, penghukuman atau perlakuan yang kejam, tidak manusiawi, merendahkan derajat dan martabat kemanusiaannya.   (2) Setiap orang berhak untuk bebas dari penghilangan paksa dan PRESIDEN REPUBLIK INDONESIA   - 10 - penghilangan nyawa.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 34  Setiap orang tidak boleh ditangkap, ditahan, dipaksa, dikecualikan, diasingkan, atau dibuang secara sewenang-wenang.     "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 35  Setiap orang berhak hidup dalam tatanan masyarakat dan kenegaraan yang damai, aman, dan tenteram, menghormati, melindungi dan melaksanakan sepenuhnya hak asasi manusia dan kewajiban dasar manusia sebagaimana diatur dalam Undnag-undang ini.  Bagian Ketujuh Hak atas Kesejahteraan "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 36  (1) Setiap orang berhak mempunyai milik, baik sendiri maupun bersama-sama dengan orang lain demi pengembangan dirinya, keluarga, bangsa, dan masyarakat dengan cara yang tidak melanggar hukum. (2) Tidak   seorangpun    boleh    dirampas   miliknya        dengan sewenang-wenang dan secara melawan hukum. (3) Hak milik mempunyai fungsi sosial.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 37  (1) Pencabutan hak milik atas suatu benda demi kepentingan umum, hanya diperbolehkan dengan mengganti kerugian yang wajar dan segera serta pelaksanaannya sesuai dengan ketentuan peraturan perundang-undangan. (2) Apabila suatu benda berdasarkan ketentuan hukum demi kepentingan umum harus dimusnahkan atau tidak diberdayakan baik untuk selamanya maupun untuk sementara waktu maka hal    itu dilakukan dengan mengganti kerugian sesuai dengan ketentuan peraturan perundang-undangan kecuali ditentukan lain. PRESIDEN REPUBLIK INDONESIA   - 11 -  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 38  (1) Setiap warga negara, sesuai dengan bakat, kecakapan, dan kemampuan, berhak atas pekerjaan yang layak. (2) Setiap orang berhak dengan bebas memilih pekerjaan yang disukainya dan berhak pula atas syarat-syarat ketenagakerjaan yang adil. (3) Setiap orang, baik pria maupun wanita yang melakukan pekerjaan yang sama, sebanding, setara atau serupa, berhak atas upah serta syarat-syarat perjanjian kerja yang sama. (4) Setiap orang, baik pria maupun wanita, dalam melakukan pekerjaan yang sepadan dengan martabat kemanusiaannya berhak atas upah yang adil sesuai dengan prestasinya dan dapat menjamin kelangsungan kehidupan keluarganya.    "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 39  Setiap orang berhak untuk mendirikan serikat pekerja dan tidak boleh dihambat untuk menjadi anggotanya demi melindungi dan memperjuangkan kepentingannya serta sesuai dengan kententuan peraturan perundang-undangan.   
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 40  Setiap orang berhak untuk bertempat tinggal serta berkehidupan yang layak.   
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 41  (1) Setiap warga negara berhak atas jaminan sosial yang dibutuhkan untuk hidup layak serta untuk perkembangan pribadinya secara utuh. (2) Setiap penyandang cacat, orang yang berusia lanjut, wanita hamil, dan anak-anak, berhak memperoleh kemudahan dan perlakuan khusus.     "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 42 PRESIDEN REPUBLIK INDONESIA   - 12 -  Setiap warga negara yang berusia lanjut, cacat fisik dan atau cacat mental berhak memperoleh perawatan, pendidikan, pelatihan, dan bantuan khusus atas biaya negara, untuk menjamin kehidupan yang layak sesuai dengan martabat kemanusiaannya, miningkatkan rasa percaya diri, dan kemampuan berpartisipasi dalam kehidupan bermasyarakat, berbangsa, dan bernegara.  Bagian Kedelapan Hak Turut Serta dalam Pemerintahan "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 43  (1) Setiap warga negara berhak untuk dipilih dan memilih dalam pemilihan umum berdasarkan persamaan hak melalui pemungutan suara yang langsung, umum, bebas, rahasia, jujur, dan adil sesuai dengan ketentuan peraturan perundang-undangan. (2) Setiap warga negara berhak turut serta dalam pemerintahan dengan langsung atau dengan perantaraan wakil yang dipilihnya dengan bebas, menurut cara yang ditentukan dalam peraturan perundang-undangan. (3) Setiap warga negara dapat diangkat dalam setiap jabatan pemerintahan.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 44  Setiap orang berhak sendiri maupun bersama-sama berhak mengajukan pendapat, permohonan, pengaduan, dan atau usaha kepada pemerintah dalam rangka pelaksanaan pemerintahan yang bersih, efektif, dan efisien, baik dengan lisan meupun dengan tulisan sesuai dengan ketentuan peraturan perundang-undangan.  Bagian Kesembilan Hak Wanita "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 45  Hak wanita dalam Undang-undang ini adalah hak asasi manusia.  
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 46  Sistem pemilihan umum, kepartaian, pemilihan anggota badan legislatif, dan sistem pengangkatan di bidang eksekutif, yudikatif harus menjamin keterwakilan wanita sesuai persyaratan yang ditentukan. PRESIDEN REPUBLIK INDONESIA   - 13 - "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 47  Seorang wanita yang menikah dengan seorang pria berkewarganegaraan asing tidak secara otomatis mengikuti status kewarganegaraan suaminya tetapi mempunyai hak untuk mempertahankan, mengganti, atau memperoleh kembali status kewarganegaraannya.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 48  Wanita berhak untuk memperoleh pendidikan dan pengajaran di semua jenis, jenjang dan jalur pendidikan sesuai dengan persyaratan yang telah ditentukan.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 49  (1) Wanita berhak untuk memilih, dipilih, diangkat dalam pekerjaan, jabatan, dan profesi sesuai dengan persyaratan dan peraturan perundang-undangan. (2) Wanita berhak untuk mendapatkan perlindungan khusus dalam pelaksanaan pekerjaan atau profesinya terhadap hal-hal yang dapat mengancam keselamatan dan atau kesehatannya berkenaan dengan fungsi reproduksi wanita. (3) Hak khusus yang melekat pada diri wanita dikarenakan fungsi reproduksinya, dijamin dan dilindungi oleh hukum.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 50  Wanita yang telah dewasa dan atau telah menikah berhak untuk melakukan perbuatan hukum sendiri, kecuali ditentukan lain oleh hukum agamanya.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 51  (1) Seorang istri selama dalam ikatan perkawinan mempunyai hak dan tanggung jawab yang sama dengan suaminya atas semua hal yang berkenaan dengan kehidupan perkawinannya, hubungan dengan anak-anaknya dan hak pemilikan serta pengelolaan harta bersama. (2) Setelah putusnya perkawinan, seorang wanita mempunyai hak dan tanggung jawab yang sama dengan mantan suaminya atas semua hal yang berkenaan dengan anak-anaknya, dengan memperhatikan kepentingan terbaik bagi anak.   (3) Setelah putusnya perkawinan, seorang wanita mempunyai hak yang PRESIDEN REPUBLIK INDONESIA   - 14 - sama dengan mantan suaminya atas semua hal yang berkenaan dengan harta bersama tanpa mengurangi hak anak, sesuai dengan ketentuan peraturan perundang-undangan.  Bagian Kesepuluh Hak Anak "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 52  (1) Setiap anak berhak atas perlindungan oleh orang tua, keluarga, masyarakat, dan negara. (2) Hak anak adalah hak asasi manusia dan untuk kepentingannya hak anak itu diakui dan dilindungi oleh hukum bahkan sejak dalam kandungan.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 53  (1) Setiap anak sejak dalam kandungan, berhak untuk hidup, mempertahankan hidup, dan meningkatkan taraf kehidupannya. (2) Setiap anak sejak kelahirannya, berhak atas suatu nama dan status kewarganegaraan.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 54  Setiap anak yang cacat fisik dan atau mental berhak memperoleh perawatan, pendidikan, pelatihan, dan bantuan khusus atas biaya negara, untuk menjamin kehidupannya sesuai dengan martabat kemanusiaan, meningkatkan rasa percaya diri, dan kemampuan berpartisipasi dalam kehidupan masyarakat, berbangsa, dan bernegara.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 55  Setiap anak berhak untuk beribadah menurut agamanya, berfikir, berekspresi sesuai dengan tingkat intelektualitas dan usianya di bawah bimbingan orang tua dan atau wali.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 56  (1) Setiap anak berhak untuk mengetahui siapa orang tuanya, dibesarkan, dan diasuh oleh orang tuanya sendiri. (2) Dalam hal orang tua anak tidak mampu membesarkan dan memelihara anaknya dengan baik sesuai dengan Undang-undang ini, maka anak tersebut boleh diasuh atau diangkat sebagai anak oleh orang lain sesuai dengan ketentuan peraturan perundang-undangan.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 57 PRESIDEN REPUBLIK INDONESIA   - 15 -  (1) Setiap anak berhak untuk dibesarkan, dipelihara, dirawat, dididik, diarahkan, dan dibimbing kehidupannya oleh orang tua atau walinya sampai     dewasa     sesuai   dengan     ketentuan     peraturan perundang-undangan. (2) Setiap anak berhak untuk mendapatkan orang tua angkat atau wali berdasarkan putusan pengadilan apabila kedua orang tua telah meninggal dunia atau karena suatu sebab yang sah tidak dapat menjalankan kewajibannya sebagai orang tua. (3) Orang tua angkat atau wali sebagaimana dimaksud dalam ayat (2) harus menjalankan kewajiban sebagai orang tua yang sesungguhnya.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 58  (1) Setiap anak berhak untuk mendapatkan perlindungan hukum dari segala bentuk kekerasan fisik atau mental, penelantaran, perlakuan buruk, dan pelecehan seksual selama dalam pengasuhan orang tua atau walinya, atau pihak lain maupun yang bertanggung jawab atas pengasuhan anak tersebut. (2) Dalam hal orang tua, wali, atau pengasuh anak melakukan segala bentuk penganiayaan fisik atau mental, penelantaran, perlakuan bentuk, dan pelecehan seksual termasuk pemerkosaan, dan atau pembunuhan terhadap anak yang seharusnya dilindungi, maka harus dikenakan pemberatan hukuman.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 59  (1) Setiap anak berhak untuk tidak dipisahkan dari orang tuanya secara bertentangan dengan kehendak anak sendiri, kecuali jika ada alasan dan aturan hukum yang sah yang menunjukkan bahwa pemisahan itu demi kepentingan terbaik bagi anak. (2) Dalam keadaan sebagaimana dimaksud dalam ayat (1), hak anak untuk tetap bertemu langsung dan berhubungan pribadi secara tetap dengan orang tuanya tetap dijamin oleh Undang-undang.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 60  (1) Setiap anak berhak untuk memperoleh pendidikan dan pengajaran dalam rangka pengembangan pribadinya sesuai dengan minat, bakat, dan tingkat kecerdasannya. (2) Setiap anak berhak mencari, menerima, dan memberikan informasi sesuai dengan tingkat intelektualitas dan usianya demi pengembangan dirinya sepanjang sesuai dengan nilai-nilai PRESIDEN REPUBLIK INDONESIA   - 16 - kesusilaan dan kepatutan.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 61  Setiap anak berhak untuk beristirahat, bergaul dengan anak yang sebaya, bermain, berekreasi, dan berkreasi sesuai dengan minat, bakat, dan tingkat kecerdasannya demi pengembangan dirinya.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 62  Setiap anak berhak untuk memperoleh pelayanan kesehatan dan jaminan sosial secara layak, sesuai dengan kebutuhan fisik dan mental spiritualnya.   "
